County name,State,FIPS,Population (2019),,,
Autauga County, Alabama,1001,"55,869",,,
Baldwin County, Alabama,1003,"223,234",,,
Barbour County, Alabama,1005,"24,686",,,
Bibb County, Alabama,1007,"22,394",,,
Blount County, Alabama,1009,"57,826",,,
Bullock County, Alabama,1011,"10,101",,,
Butler County, Alabama,1013,"19,448",,,
Calhoun County, Alabama,1015,"113,605",,,
Chambers County, Alabama,1017,"33,254",,,
Cherokee County, Alabama,1019,"26,196",,,
Chilton County, Alabama,1021,"44,428",,,
Choctaw County, Alabama,1023,"12,589",,,
Clarke County, Alabama,1025,"23,622",,,
Clay County, Alabama,1027,"13,235",,,
Cleburne County, Alabama,1029,"14,910",,,
Coffee County, Alabama,1031,"52,342",,,
Colbert County, Alabama,1033,"55,241",,,
Conecuh County, Alabama,1035,"12,067",,,
Coosa County, Alabama,1037,"10,663",,,
Covington County, Alabama,1039,"37,049",,,
Crenshaw County, Alabama,1041,"13,772",,,
Cullman County, Alabama,1043,"83,768",,,
Dale County, Alabama,1045,"49,172",,,
Dallas County, Alabama,1047,"37,196",,,
DeKalb County, Alabama,1049,"71,513",,,
Elmore County, Alabama,1051,"81,209",,,
Escambia County, Alabama,1053,"36,633",,,
Etowah County, Alabama,1055,"102,268",,,
Fayette County, Alabama,1057,"16,302",,,
Franklin County, Alabama,1059,"31,362",,,
Geneva County, Alabama,1061,"26,271",,,
Greene County, Alabama,1063,"8,111",,,
Hale County, Alabama,1065,"14,651",,,
Henry County, Alabama,1067,"17,205",,,
Houston County, Alabama,1069,"105,882",,,
Jackson County, Alabama,1071,"51,626",,,
Jefferson County, Alabama,1073,"658,573",,,
Lamar County, Alabama,1075,"13,805",,,
Lauderdale County, Alabama,1077,"92,729",,,
Lawrence County, Alabama,1079,"32,924",,,
Lee County, Alabama,1081,"164,542",,,
Limestone County, Alabama,1083,"98,915",,,
Lowndes County, Alabama,1085,"9,726",,,
Macon County, Alabama,1087,"18,068",,,
Madison County, Alabama,1089,"372,909",,,
Marengo County, Alabama,1091,"18,863",,,
Marion County, Alabama,1093,"29,709",,,
Marshall County, Alabama,1095,"96,774",,,
Mobile County, Alabama,1097,"413,210",,,
Monroe County, Alabama,1099,"20,733",,,
Montgomery County, Alabama,1101,"226,486",,,
Morgan County, Alabama,1103,"119,679",,,
Perry County, Alabama,1105,"8,923",,,
Pickens County, Alabama,1107,"19,930",,,
Pike County, Alabama,1109,"33,114",,,
Randolph County, Alabama,1111,"22,722",,,
Russell County, Alabama,1113,"57,961",,,
St Clair County, Alabama,1117,"89,512",,,
Shelby County, Alabama,1115,"217,702",,,
Sumter County, Alabama,1119,"12,427",,,
Talladega County, Alabama,1121,"79,978",,,
Tallapoosa County, Alabama,1123,"40,367",,,
Tuscaloosa County, Alabama,1125,"209,355",,,
Walker County, Alabama,1127,"63,521",,,
Washington County, Alabama,1129,"16,326",,,
Wilcox County, Alabama,1131,"10,373",,,
Winston County, Alabama,1133,"23,629",,,
Aleutians East Borough, Alaska,2013,"3,337",,,
Aleutians West Census Area, Alaska,2016,"5,634",,,
Anchorage Municipality, Alaska,2020,"288,000",,,
Bethel Census Area, Alaska,2050,"18,386",,,
Bristol Bay Borough, Alaska,2060,836,,,
Denali Borough, Alaska,2068,"2,097",,,
Dillingham Census Area, Alaska,2070,"4,916",,,
Fairbanks North Star Borough, Alaska,2090,"96,849",,,
Haines Borough, Alaska,2100,"2,530",,,
Juneau City and Borough, Alaska,2110,"31,974",,,
Kenai Peninsula Borough, Alaska,2122,"58,708",,,
Ketchikan Gateway Borough, Alaska,2130,"13,901",,,
Kodiak Island Borough, Alaska,2150,"12,998",,,
Kusilvak Census Area, Alaska,2158,"8,314",,,
Lake and Peninsula Borough, Alaska,2164,"1,592",,,
Matanuska-Susitna Borough, Alaska,2170,"108,317",,,
Nome Census Area, Alaska,2180,"10,004",,,
North Slope Borough, Alaska,2185,"9,832",,,
Northwest Arctic Borough, Alaska,2188,"7,621",,,
Petersburg Borough, Alaska,2195,"3,266",,,
Prince of Wales-Hyder Census Area, Alaska,2198,"6,203",,,
Sitka City and Borough, Alaska,2220,"8,493",,,
Skagway Municipality, Alaska,2230,"1,183",,,
Southeast Fairbanks Census Area, Alaska,2240,"6,893",,,
Valdez-Cordova Census Area, Alaska,2261,"9,202",,,
Wrangell City and Borough, Alaska,2275,"2,502",,,
Yukon-Koyukuk Census Area, Alaska,2290,"5,230",,,
Apache County, Arizona,4001,"71,887",,,
Cochise County, Arizona,4003,"125,922",,,
Coconino County, Arizona,4005,"143,476",,,
Gila County, Arizona,4007,"54,018",,,
Graham County, Arizona,4009,"38,837",,,
Greenlee County, Arizona,4011,"9,498",,,
La Paz County, Arizona,4012,"21,108",,,
Maricopa County, Arizona,4013,"4,485,414",,,
Mohave County, Arizona,4015,"212,181",,,
Navajo County, Arizona,4017,"110,924",,,
Pima County, Arizona,4019,"1,047,279",,,
Pinal County, Arizona,4021,"462,789",,,
Santa Cruz County, Arizona,4023,"46,498",,,
Yavapai County, Arizona,4025,"235,099",,,
Yuma County, Arizona,4027,"213,787",,,
Arkansas County, Arkansas,5001,"17,486",,,
Ashley County, Arkansas,5003,"19,657",,,
Baxter County, Arkansas,5005,"41,932",,,
Benton County, Arkansas,5007,"279,141",,,
Boone County, Arkansas,5009,"37,432",,,
Bradley County, Arkansas,5011,"10,763",,,
Calhoun County, Arkansas,5013,"5,189",,,
Carroll County, Arkansas,5015,"28,380",,,
Chicot County, Arkansas,5017,"10,118",,,
Clark County, Arkansas,5019,"22,320",,,
Clay County, Arkansas,5021,"14,551",,,
Cleburne County, Arkansas,5023,"24,919",,,
Cleveland County, Arkansas,5025,"7,956",,,
Columbia County, Arkansas,5027,"23,457",,,
Conway County, Arkansas,5029,"20,846",,,
Craighead County, Arkansas,5031,"110,332",,,
Crawford County, Arkansas,5033,"63,257",,,
Crittenden County, Arkansas,5035,"47,955",,,
Cross County, Arkansas,5037,"16,419",,,
Dallas County, Arkansas,5039,"7,009",,,
Desha County, Arkansas,5041,"11,361",,,
Drew County, Arkansas,5043,"18,219",,,
Faulkner County, Arkansas,5045,"126,007",,,
Franklin County, Arkansas,5047,"17,715",,,
Fulton County, Arkansas,5049,"12,477",,,
Garland County, Arkansas,5051,"99,386",,,
Grant County, Arkansas,5053,"18,265",,,
Greene County, Arkansas,5055,"45,325",,,
Hempstead County, Arkansas,5057,"21,532",,,
Hot Spring County, Arkansas,5059,"33,771",,,
Howard County, Arkansas,5061,"13,202",,,
Independence County, Arkansas,5063,"37,825",,,
Izard County, Arkansas,5065,"13,629",,,
Jackson County, Arkansas,5067,"16,719",,,
Jefferson County, Arkansas,5069,"66,824",,,
Johnson County, Arkansas,5071,"26,578",,,
Lafayette County, Arkansas,5073,"6,624",,,
Lawrence County, Arkansas,5075,"16,406",,,
Lee County, Arkansas,5077,"8,857",,,
Lincoln County, Arkansas,5079,"13,024",,,
Little River County, Arkansas,5081,"12,259",,,
Logan County, Arkansas,5083,"21,466",,,
Lonoke County, Arkansas,5085,"73,309",,,
Madison County, Arkansas,5087,"16,576",,,
Marion County, Arkansas,5089,"16,694",,,
Miller County, Arkansas,5091,"43,257",,,
Mississippi County, Arkansas,5093,"40,651",,,
Monroe County, Arkansas,5095,"6,701",,,
Montgomery County, Arkansas,5097,"8,986",,,
Nevada County, Arkansas,5099,"8,252",,,
Newton County, Arkansas,5101,"7,753",,,
Ouachita County, Arkansas,5103,"23,382",,,
Perry County, Arkansas,5105,"10,455",,,
Phillips County, Arkansas,5107,"17,782",,,
Pike County, Arkansas,5109,"10,718",,,
Poinsett County, Arkansas,5111,"23,528",,,
Polk County, Arkansas,5113,"19,964",,,
Pope County, Arkansas,5115,"64,072",,,
Prairie County, Arkansas,5117,"8,062",,,
Pulaski County, Arkansas,5119,"391,911",,,
Randolph County, Arkansas,5121,"17,958",,,
St Francis County, Arkansas,5125,"24,994",,,
Saline County, Arkansas,5127,"122,437",,,
Scott County, Arkansas,5129,"10,281",,,
Searcy County, Arkansas,5131,"7,881",,,
Sebastian County, Arkansas,5133,"127,827",,,
Sevier County, Arkansas,5135,"17,007",,,
Sharp County, Arkansas,5123,"17,442",,,
Stone County, Arkansas,5137,"12,506",,,
Union County, Arkansas,5139,"38,682",,,
Van Buren County, Arkansas,5141,"16,545",,,
Washington County, Arkansas,5143,"239,187",,,
White County, Arkansas,5145,"78,753",,,
Woodruff County, Arkansas,5147,"6,320",,,
Yell County, Arkansas,5149,"21,341",,,
Alameda County, California,6001,"1,671,329",,,
Alpine County, California,6003,"1,129",,,
Amador County, California,6005,"39,752",,,
Butte County, California,6007,"219,186",,,
Calaveras County, California,6009,"45,905",,,
Colusa County, California,6011,"21,547",,,
Contra Costa County, California,6013,"1,153,526",,,
Del Norte County, California,6015,"27,812",,,
El Dorado County, California,6017,"192,843",,,
Fresno County, California,6019,"999,101",,,
Glenn County, California,6021,"28,393",,,
Humboldt County, California,6023,"135,558",,,
Imperial County, California,6025,"181,215",,,
Inyo County, California,6027,"18,039",,,
Kern County, California,6029,"900,202",,,
Kings County, California,6031,"152,940",,,
Lake County, California,6033,"64,386",,,
Lassen County, California,6035,"30,573",,,
Los Angeles County, California,6037,"10,039,107",,,
Madera County, California,6039,"157,327",,,
Marin County, California,6041,"258,826",,,
Mariposa County, California,6043,"17,203",,,
Mendocino County, California,6045,"86,749",,,
Merced County, California,6047,"277,680",,,
Modoc County, California,6049,"8,841",,,
Mono County, California,6051,"14,444",,,
Monterey County, California,6053,"434,061",,,
Napa County, California,6055,"137,744",,,
Nevada County, California,6057,"99,755",,,
Orange County, California,6059,"3,175,692",,,
Placer County, California,6061,"398,329",,,
Plumas County, California,6063,"18,807",,,
Riverside County, California,6065,"2,470,546",,,
Sacramento County, California,6067,"1,552,058",,,
San Benito County, California,6069,"62,808",,,
San Bernardino County, California,6071,"2,180,085",,,
San Diego County, California,6073,"3,338,330",,,
San Francisco County, California,6075,"881,549",,,
San Joaquin County, California,6077,"762,148",,,
San Luis Obispo County, California,6079,"283,111",,,
San Mateo County, California,6081,"766,573",,,
Santa Barbara County, California,6083,"446,499",,,
Santa Clara County, California,6085,"1,927,852",,,
Santa Cruz County, California,6087,"273,213",,,
Shasta County, California,6089,"180,080",,,
Sierra County, California,6091,"3,005",,,
Siskiyou County, California,6093,"43,539",,,
Solano County, California,6095,"447,643",,,
Sonoma County, California,6097,"494,336",,,
Stanislaus County, California,6099,"550,660",,,
Sutter County, California,6101,"96,971",,,
Tehama County, California,6103,"65,084",,,
Trinity County, California,6105,"12,285",,,
Tulare County, California,6107,"466,195",,,
Tuolumne County, California,6109,"54,478",,,
Ventura County, California,6111,"846,006",,,
Yolo County, California,6113,"220,500",,,
Yuba County, California,6115,"78,668",,,
Adams County, Colorado,8001,"517,421",,,
Alamosa County, Colorado,8003,"16,233",,,
Arapahoe County, Colorado,8005,"656,590",,,
Archuleta County, Colorado,8007,"14,029",,,
Baca County, Colorado,8009,"3,581",,,
Bent County, Colorado,8011,"5,577",,,
Boulder County, Colorado,8013,"326,196",,,
Broomfield County, Colorado,8014,"70,465",,,
Chaffee County, Colorado,8015,"20,356",,,
Cheyenne County, Colorado,8017,"1,831",,,
Clear Creek County, Colorado,8019,"9,700",,,
Conejos County, Colorado,8021,"8,205",,,
Costilla County, Colorado,8023,"3,887",,,
Crowley County, Colorado,8025,"6,061",,,
Custer County, Colorado,8027,"5,068",,,
Delta County, Colorado,8029,"31,162",,,
Denver County, Colorado,8031,"727,211",,,
Dolores County, Colorado,8033,"2,055",,,
Douglas County, Colorado,8035,"351,154",,,
Eagle County, Colorado,8037,"55,127",,,
Elbert County, Colorado,8041,"26,729",,,
El Paso County, Colorado,8039,"720,403",,,
Fremont County, Colorado,8043,"47,839",,,
Garfield County, Colorado,8045,"60,061",,,
Gilpin County, Colorado,8047,"6,243",,,
Grand County, Colorado,8049,"15,734",,,
Gunnison County, Colorado,8051,"17,462",,,
Hinsdale County, Colorado,8053,820,,,
Huerfano County, Colorado,8055,"6,897",,,
Jackson County, Colorado,8057,"1,392",,,
Jefferson County, Colorado,8059,"582,881",,,
Kiowa County, Colorado,8061,"1,406",,,
Kit Carson County, Colorado,8063,"7,097",,,
Lake County, Colorado,8067,"8,127",,,
La Plata County, Colorado,8065,"56,221",,,
Larimer County, Colorado,8069,"356,899",,,
Las Animas County, Colorado,8071,"14,506",,,
Lincoln County, Colorado,8073,"5,701",,,
Logan County, Colorado,8075,"22,409",,,
Mesa County, Colorado,8077,"154,210",,,
Mineral County, Colorado,8079,769,,,
Moffat County, Colorado,8081,"13,283",,,
Montezuma County, Colorado,8083,"26,183",,,
Montrose County, Colorado,8085,"42,758",,,
Morgan County, Colorado,8087,"29,068",,,
Otero County, Colorado,8089,"18,278",,,
Ouray County, Colorado,8091,"4,952",,,
Park County, Colorado,8093,"18,845",,,
Phillips County, Colorado,8095,"4,265",,,
Pitkin County, Colorado,8097,"17,767",,,
Prowers County, Colorado,8099,"12,172",,,
Pueblo County, Colorado,8101,"168,424",,,
Rio Blanco County, Colorado,8103,"6,324",,,
Rio Grande County, Colorado,8105,"11,267",,,
Routt County, Colorado,8107,"25,638",,,
Saguache County, Colorado,8109,"6,824",,,
San Juan County, Colorado,8111,728,,,
San Miguel County, Colorado,8113,"8,179",,,
Sedgwick County, Colorado,8115,"2,248",,,
Summit County, Colorado,8117,"31,011",,,
Teller County, Colorado,8119,"25,388",,,
Washington County, Colorado,8121,"4,908",,,
Weld County, Colorado,8123,"324,492",,,
Yuma County, Colorado,8125,"10,019",,,
Fairfield County, Connecticut,9001,"943,332",,,
Hartford County, Connecticut,9003,"891,720",,,
Litchfield County, Connecticut,9005,"180,333",,,
Middlesex County, Connecticut,9007,"162,436",,,
New Haven County, Connecticut,9009,"854,757",,,
