County name,State,FIPS,Population (2019)
Autauga County,Alabama,1001,55869
Baldwin County,Alabama,1003,223234
Barbour County,Alabama,1005,24686
Bibb County,Alabama,1007,22394
Blount County,Alabama,1009,57826
Bullock County,Alabama,1011,10101
Butler County,Alabama,1013,19448
Calhoun County,Alabama,1015,113605
Chambers County,Alabama,1017,33254
Cherokee County,Alabama,1019,26196
Chilton County,Alabama,1021,44428
Choctaw County,Alabama,1023,12589
Clarke County,Alabama,1025,23622
Clay County,Alabama,1027,13235
Cleburne County,Alabama,1029,14910
Coffee County,Alabama,1031,52342
Colbert County,Alabama,1033,55241
Conecuh County,Alabama,1035,12067
Coosa County,Alabama,1037,10663
Covington County,Alabama,1039,37049
Crenshaw County,Alabama,1041,13772
Cullman County,Alabama,1043,83768
Dale County,Alabama,1045,49172
Dallas County,Alabama,1047,37196
DeKalb County,Alabama,1049,71513
Elmore County,Alabama,1051,81209
Escambia County,Alabama,1053,36633
Etowah County,Alabama,1055,102268
Fayette County,Alabama,1057,16302
Franklin County,Alabama,1059,31362
Geneva County,Alabama,1061,26271
Greene County,Alabama,1063,8111
Hale County,Alabama,1065,14651
Henry County,Alabama,1067,17205
Houston County,Alabama,1069,105882
Jackson County,Alabama,1071,51626
Jefferson County,Alabama,1073,658573
Lamar County,Alabama,1075,13805
Lauderdale County,Alabama,1077,92729
Lawrence County,Alabama,1079,32924
Lee County,Alabama,1081,164542
Limestone County,Alabama,1083,98915
Lowndes County,Alabama,1085,9726
Macon County,Alabama,1087,18068
Madison County,Alabama,1089,372909
Marengo County,Alabama,1091,18863
Marion County,Alabama,1093,29709
Marshall County,Alabama,1095,96774
Mobile County,Alabama,1097,413210
Monroe County,Alabama,1099,20733
Montgomery County,Alabama,1101,226486
Morgan County,Alabama,1103,119679
Perry County,Alabama,1105,8923
Pickens County,Alabama,1107,19930
Pike County,Alabama,1109,33114
Randolph County,Alabama,1111,22722
Russell County,Alabama,1113,57961
St Clair County,Alabama,1117,89512
Shelby County,Alabama,1115,217702
Sumter County,Alabama,1119,12427
Talladega County,Alabama,1121,79978
Tallapoosa County,Alabama,1123,40367
Tuscaloosa County,Alabama,1125,209355
Walker County,Alabama,1127,63521
Washington County,Alabama,1129,16326
Wilcox County,Alabama,1131,10373
Winston County,Alabama,1133,23629
Aleutians East Borough,Alaska,2013,3337
Aleutians West Census Area,Alaska,2016,5634
Anchorage Municipality,Alaska,2020,288000
Bethel Census Area,Alaska,2050,18386
Bristol Bay Borough,Alaska,2060,836
Denali Borough,Alaska,2068,2097
Dillingham Census Area,Alaska,2070,4916
Fairbanks North Star Borough,Alaska,2090,96849
Haines Borough,Alaska,2100,2530
Juneau City and Borough,Alaska,2110,31974
Kenai Peninsula Borough,Alaska,2122,58708
Ketchikan Gateway Borough,Alaska,2130,13901
Kodiak Island Borough,Alaska,2150,12998
Kusilvak Census Area,Alaska,2158,8314
Lake and Peninsula Borough,Alaska,2164,1592
Matanuska-Susitna Borough,Alaska,2170,108317
Nome Census Area,Alaska,2180,10004
North Slope Borough,Alaska,2185,9832
Northwest Arctic Borough,Alaska,2188,7621
Petersburg Borough,Alaska,2195,3266
Prince of Wales-Hyder Census Area,Alaska,2198,6203
Sitka City and Borough,Alaska,2220,8493
Skagway Municipality,Alaska,2230,1183
Southeast Fairbanks Census Area,Alaska,2240,6893
Valdez-Cordova Census Area,Alaska,2261,9202
Wrangell City and Borough,Alaska,2275,2502
Yukon-Koyukuk Census Area,Alaska,2290,5230
Apache County,Arizona,4001,71887
Cochise County,Arizona,4003,125922
Coconino County,Arizona,4005,143476
Gila County,Arizona,4007,54018
Graham County,Arizona,4009,38837
Greenlee County,Arizona,4011,9498
La Paz County,Arizona,4012,21108
Maricopa County,Arizona,4013,4485414
Mohave County,Arizona,4015,212181
Navajo County,Arizona,4017,110924
Pima County,Arizona,4019,1047279
Pinal County,Arizona,4021,462789
Santa Cruz County,Arizona,4023,46498
Yavapai County,Arizona,4025,235099
Yuma County,Arizona,4027,213787
Arkansas County,Arkansas,5001,17486
Ashley County,Arkansas,5003,19657
Baxter County,Arkansas,5005,41932
Benton County,Arkansas,5007,279141
Boone County,Arkansas,5009,37432
Bradley County,Arkansas,5011,10763
Calhoun County,Arkansas,5013,5189
Carroll County,Arkansas,5015,28380
Chicot County,Arkansas,5017,10118
Clark County,Arkansas,5019,22320
Clay County,Arkansas,5021,14551
Cleburne County,Arkansas,5023,24919
Cleveland County,Arkansas,5025,7956
Columbia County,Arkansas,5027,23457
Conway County,Arkansas,5029,20846
Craighead County,Arkansas,5031,110332
Crawford County,Arkansas,5033,63257
Crittenden County,Arkansas,5035,47955
Cross County,Arkansas,5037,16419
Dallas County,Arkansas,5039,7009
Desha County,Arkansas,5041,11361
Drew County,Arkansas,5043,18219
Faulkner County,Arkansas,5045,126007
Franklin County,Arkansas,5047,17715
Fulton County,Arkansas,5049,12477
Garland County,Arkansas,5051,99386
Grant County,Arkansas,5053,18265
Greene County,Arkansas,5055,45325
Hempstead County,Arkansas,5057,21532
Hot Spring County,Arkansas,5059,33771
Howard County,Arkansas,5061,13202
Independence County,Arkansas,5063,37825
Izard County,Arkansas,5065,13629
Jackson County,Arkansas,5067,16719
Jefferson County,Arkansas,5069,66824
Johnson County,Arkansas,5071,26578
Lafayette County,Arkansas,5073,6624
Lawrence County,Arkansas,5075,16406
Lee County,Arkansas,5077,8857
Lincoln County,Arkansas,5079,13024
Little River County,Arkansas,5081,12259
Logan County,Arkansas,5083,21466
Lonoke County,Arkansas,5085,73309
Madison County,Arkansas,5087,16576
Marion County,Arkansas,5089,16694
Miller County,Arkansas,5091,43257
Mississippi County,Arkansas,5093,40651
Monroe County,Arkansas,5095,6701
Montgomery County,Arkansas,5097,8986
Nevada County,Arkansas,5099,8252
Newton County,Arkansas,5101,7753
Ouachita County,Arkansas,5103,23382
Perry County,Arkansas,5105,10455
Phillips County,Arkansas,5107,17782
Pike County,Arkansas,5109,10718
Poinsett County,Arkansas,5111,23528
Polk County,Arkansas,5113,19964
Pope County,Arkansas,5115,64072
Prairie County,Arkansas,5117,8062
Pulaski County,Arkansas,5119,391911
Randolph County,Arkansas,5121,17958
St Francis County,Arkansas,5125,24994
Saline County,Arkansas,5127,122437
Scott County,Arkansas,5129,10281
Searcy County,Arkansas,5131,7881
Sebastian County,Arkansas,5133,127827
Sevier County,Arkansas,5135,17007
Sharp County,Arkansas,5123,17442
Stone County,Arkansas,5137,12506
Union County,Arkansas,5139,38682
Van Buren County,Arkansas,5141,16545
Washington County,Arkansas,5143,239187
White County,Arkansas,5145,78753
Woodruff County,Arkansas,5147,6320
Yell County,Arkansas,5149,21341
Alameda County,California,6001,1671329
Alpine County,California,6003,1129
Amador County,California,6005,39752
Butte County,California,6007,219186
Calaveras County,California,6009,45905
Colusa County,California,6011,21547
Contra Costa County,California,6013,1153526
Del Norte County,California,6015,27812
El Dorado County,California,6017,192843
Fresno County,California,6019,999101
Glenn County,California,6021,28393
Humboldt County,California,6023,135558
Imperial County,California,6025,181215
Inyo County,California,6027,18039
Kern County,California,6029,900202
Kings County,California,6031,152940
Lake County,California,6033,64386
Lassen County,California,6035,30573
Los Angeles County,California,6037,10039107
Madera County,California,6039,157327
Marin County,California,6041,258826
Mariposa County,California,6043,17203
Mendocino County,California,6045,86749
Merced County,California,6047,277680
Modoc County,California,6049,8841
Mono County,California,6051,14444
Monterey County,California,6053,434061
Napa County,California,6055,137744
Nevada County,California,6057,99755
Orange County,California,6059,3175692
Placer County,California,6061,398329
Plumas County,California,6063,18807
Riverside County,California,6065,2470546
Sacramento County,California,6067,1552058
San Benito County,California,6069,62808
San Bernardino County,California,6071,2180085
San Diego County,California,6073,3338330
San Francisco County,California,6075,881549
San Joaquin County,California,6077,762148
San Luis Obispo County,California,6079,283111
San Mateo County,California,6081,766573
Santa Barbara County,California,6083,446499
Santa Clara County,California,6085,1927852
Santa Cruz County,California,6087,273213
Shasta County,California,6089,180080
Sierra County,California,6091,3005
Siskiyou County,California,6093,43539
Solano County,California,6095,447643
Sonoma County,California,6097,494336
Stanislaus County,California,6099,550660
Sutter County,California,6101,96971
Tehama County,California,6103,65084
Trinity County,California,6105,12285
Tulare County,California,6107,466195
Tuolumne County,California,6109,54478
Ventura County,California,6111,846006
Yolo County,California,6113,220500
Yuba County,California,6115,78668
Adams County,Colorado,8001,517421
Alamosa County,Colorado,8003,16233
Arapahoe County,Colorado,8005,656590
Archuleta County,Colorado,8007,14029
Baca County,Colorado,8009,3581
Bent County,Colorado,8011,5577
Boulder County,Colorado,8013,326196
Broomfield County,Colorado,8014,70465
Chaffee County,Colorado,8015,20356
Cheyenne County,Colorado,8017,1831
Clear Creek County,Colorado,8019,9700
Conejos County,Colorado,8021,8205
Costilla County,Colorado,8023,3887
Crowley County,Colorado,8025,6061
Custer County,Colorado,8027,5068
Delta County,Colorado,8029,31162
Denver County,Colorado,8031,727211
Dolores County,Colorado,8033,2055
Douglas County,Colorado,8035,351154
Eagle County,Colorado,8037,55127
Elbert County,Colorado,8041,26729
El Paso County,Colorado,8039,720403
Fremont County,Colorado,8043,47839
Garfield County,Colorado,8045,60061
Gilpin County,Colorado,8047,6243
Grand County,Colorado,8049,15734
Gunnison County,Colorado,8051,17462
Hinsdale County,Colorado,8053,820
Huerfano County,Colorado,8055,6897
Jackson County,Colorado,8057,1392
Jefferson County,Colorado,8059,582881
Kiowa County,Colorado,8061,1406
Kit Carson County,Colorado,8063,7097
Lake County,Colorado,8067,8127
La Plata County,Colorado,8065,56221
Larimer County,Colorado,8069,356899
Las Animas County,Colorado,8071,14506
Lincoln County,Colorado,8073,5701
Logan County,Colorado,8075,22409
Mesa County,Colorado,8077,154210
Mineral County,Colorado,8079,769
Moffat County,Colorado,8081,13283
Montezuma County,Colorado,8083,26183
Montrose County,Colorado,8085,42758
Morgan County,Colorado,8087,29068
Otero County,Colorado,8089,18278
Ouray County,Colorado,8091,4952
Park County,Colorado,8093,18845
Phillips County,Colorado,8095,4265
Pitkin County,Colorado,8097,17767
Prowers County,Colorado,8099,12172
Pueblo County,Colorado,8101,168424
Rio Blanco County,Colorado,8103,6324
Rio Grande County,Colorado,8105,11267
Routt County,Colorado,8107,25638
Saguache County,Colorado,8109,6824
San Juan County,Colorado,8111,728
San Miguel County,Colorado,8113,8179
Sedgwick County,Colorado,8115,2248
Summit County,Colorado,8117,31011
Teller County,Colorado,8119,25388
Washington County,Colorado,8121,4908
Weld County,Colorado,8123,324492
Yuma County,Colorado,8125,10019
Fairfield County,Connecticut,9001,943332
Hartford County,Connecticut,9003,891720
Litchfield County,Connecticut,9005,180333
Middlesex County,Connecticut,9007,162436
New Haven County,Connecticut,9009,854757
New London County,Connecticut,9011,265206
Tolland County,Connecticut,9013,150721
Windham County,Connecticut,9015,116782
Kent County,Delaware,10001,180786
New Castle County,Delaware,10003,558753
Sussex County,Delaware,10005,234225
District of Columbia,District of Columbia,11001,705749
Alachua County,Florida,12001,269043
Baker County,Florida,12003,29210
Bay County,Florida,12005,174705
Bradford County,Florida,12007,28201
Brevard County,Florida,12009,601942
Broward County,Florida,12011,1952778
Calhoun County,Florida,12013,14105
Charlotte County,Florida,12015,188910
Citrus County,Florida,12017,149657
Clay County,Florida,12019,219252
Collier County,Florida,12021,384902
Columbia County,Florida,12023,71686
DeSoto County,Florida,12027,38001
Dixie County,Florida,12029,16826
Duval County,Florida,12031,957755
Escambia County,Florida,12033,318316
Flagler County,Florida,12035,115081
Franklin County,Florida,12037,12125
Gadsden County,Florida,12039,45660
Gilchrist County,Florida,12041,18582
Glades County,Florida,12043,13811
Gulf County,Florida,12045,13639
Hamilton County,Florida,12047,14428
Hardee County,Florida,12049,26937
Hendry County,Florida,12051,42022
Hernando County,Florida,12053,193920
Highlands County,Florida,12055,106221
Hillsborough County,Florida,12057,1471968
Holmes County,Florida,12059,19617
Indian River County,Florida,12061,159923
Jackson County,Florida,12063,46414
Jefferson County,Florida,12065,14246
Lafayette County,Florida,12067,8422
Lake County,Florida,12069,367118
Lee County,Florida,12071,770577
Leon County,Florida,12073,293582
Levy County,Florida,12075,41503
Liberty County,Florida,12077,8354
Madison County,Florida,12079,18493
Manatee County,Florida,12081,403253
Marion County,Florida,12083,365579
Martin County,Florida,12085,161000
Miami-Dade County,Florida,12086,2716940
Monroe County,Florida,12087,74228
Nassau County,Florida,12089,88625
Okaloosa County,Florida,12091,210738
Okeechobee County,Florida,12093,42168
Orange County,Florida,12095,1393452
Osceola County,Florida,12097,375751
Palm Beach County,Florida,12099,1496770
Pasco County,Florida,12101,553947
Pinellas County,Florida,12103,974996
Polk County,Florida,12105,724777
Putnam County,Florida,12107,74521
St Johns County,Florida,12113,264672
St Lucie County,Florida,12115,328297
Santa Rosa County,Florida,12117,184313
Sarasota County,Florida,12109,433742
Seminole County,Florida,12111,471826
Sumter County,Florida,12119,132420
Suwannee County,Florida,12121,44417
Taylor County,Florida,12123,21569
Union County,Florida,12125,15237
Volusia County,Florida,12127,553284
Wakulla County,Florida,12129,33739
Walton County,Florida,12131,74071
Washington County,Florida,12133,25473
Appling County,Georgia,13001,18386
Atkinson County,Georgia,13003,8165
Bacon County,Georgia,13005,11164
Baker County,Georgia,13007,3038
Baldwin County,Georgia,13009,44890
Banks County,Georgia,13011,19234
Barrow County,Georgia,13013,83240
Bartow County,Georgia,13015,107738
Ben Hill County,Georgia,13017,16700
Berrien County,Georgia,13019,19397
Bibb County,Georgia,13021,153159
Bleckley County,Georgia,13023,12873
Brantley County,Georgia,13025,19109
Brooks County,Georgia,13027,15457
Bryan County,Georgia,13029,39627
Bulloch County,Georgia,13031,79608
Burke County,Georgia,13033,22383
Butts County,Georgia,13035,24936
Calhoun County,Georgia,13037,6189
Camden County,Georgia,13039,54666
Candler County,Georgia,13043,10803
